DEPARTAMENTO,DENUNCIA,POBLACION,TERRENO
ARTIGAS,57,77487,"11,928,000,000"
CANELONES,491,608956,"4,536,000,000"
CERRO LARGO,84,91025,"13,648,000,000"
COLONIA,62,135797,"6,106,000,000"
DURAZNO,76,62011,"11,643,000,000"
FLORES,40,26271,"5,144,000,000"
FLORIDA,35,70325,"10,417,000,000"
LAVALLEJA,43,59175,"10,016,000,000"
MALDONADO,210,212951,"4,793,000,000"
MONTEVIDEO,2342,1302954,"530,000,000"
PAYSANDU,94,121843,"13,922,000,000"
RIO NEGRO,21,57334,"9,282,000,000"
RIVERA,154,109300,"9,370,000,000"
ROCHA,87,80707,"10,551,000,000"
SALTO,109,136197,"14,163,000,000"
SAN JOSE,86,119714,"4,992,000,000"
SORIANO,29,83685,"9,008,000,000"
TACUAREMBO,71,96013,"15,438,000,000"
TREINTA Y TRES,72,47706,"9,676,000,000"
